time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735374	0.629505	7.20296	-6.53128e-18	1.59291e-17	radar	74.6929	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494945	7.20603	-0.127198	-0.011855	lidar	0.221036	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25803	0.53308	7.19127	0.122748	0.0306271	radar	1.82493	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61581	0.595361	7.20474	0.161552	0.0462246	lidar	0.167448	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85111	0.561869	6.0113	0.0253557	-0.233686	radar	7.70451	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.163	0.591235	6.01091	0.0400558	-0.177923	lidar	0.253988	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3789	0.637121	5.60874	0.0557731	-0.342802	radar	6.305	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65628	0.654192	5.60609	0.0444913	-0.320824	lidar	0.00854268	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92275	0.647738	5.54092	-0.00343844	-0.474832	radar	0.429099	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15875	0.643289	5.49688	-0.0168378	-0.439725	lidar	1.20462	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44423	0.539329	5.5288	-0.16513	-0.852988	radar	1.26783	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74733	0.427131	5.59424	-0.283635	-1.07318	lidar	2.07616	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02824	0.511168	5.55513	-0.147118	-0.551133	radar	4.16011	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.3022	0.50305	5.5375	-0.140134	-0.467778	lidar	0.378434	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56313	0.538358	5.45895	-0.100533	-0.33261	radar	2.12372	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75348	0.644069	5.30185	-0.000783469	-0.0906076	lidar	13.0365	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00604	0.642265	5.23934	-0.00958046	-0.1008	radar	2.02151	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30654	0.640121	5.28724	-0.0150112	-0.101302	lidar	2.38184	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56431	0.647998	5.29972	-0.00887273	-0.0804132	radar	1.70901	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85742	0.665104	5.33104	0.000229017	-0.0585401	lidar	1.53907	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10077	0.591132	5.27402	-0.053575	-0.141646	radar	3.77654	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35682	0.705212	5.24771	0.0216976	-0.0152485	lidar	4.04964	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
